,Total Jobs,Average Salary,Top Salary,Total Locations,,,,,,,,
,127,74030.86782,250000,87,,,,,,,,
,,,,,,,,,,,,
Job ID,Job Title,Company,Location,Min Salary,Max Salary,Avg Salary,Pay Type,Employment Type,Key Benefits,Application Status,Link,Notes
JOB-001,Multi-Site Practice Operations Manager,Confidential,"Oakland County, MI",65000.0,75000.0,70000,Salary,Full-time,"401(k), Health insurance, Paid time off, Dental insurance",Not Applied,Indeed,3 hires made in past 30 days
JOB-002,Restaurant Assistant General Manager,Method Hospitality,"Detroit, MI 48226",70000.0,75000.0,72500,Salary,Full-time,"401(k), Health insurance, Paid time off, Vision, Dental, Life insurance",Not Applied,Indeed,Monday to Friday +7
JOB-003,Clinic Office Manager,Orthopedic Specialists of Oakland County,"Bloomfield Hills, MI 48302",55000.0,,55000,Salary,Full-time,"401(k), Health insurance, Paid time off, Vision, Dental",Not Applied,Indeed,Minimum $55k
JOB-004,Veterinary Onboarding Specialist,"Snout, Inc","Troy, MI 48083",55000.0,60000.0,57500,Salary,Full-time,"Paid parental leave, Health insurance, Paid time off, Vision, Dental",Not Applied,Indeed,
JOB-005,"Trainer, End User and Operations, HRSS",Trinity Health,"Livonia, MI 48152",31.88,47.82,39.85,Hourly,Full-time,"Health insurance, Retirement benefits",Not Applied,Indeed,$31.88 - $47.82/hr
JOB-006,Human Resources Generalist,Pontiac General Hospital,"Pontiac, MI 48341",48000.0,55000.0,51500,Salary,Full-time,"401(k), Health insurance, 401(k) matching, Paid time off, Vision, Dental",Not Applied,Indeed,Hospital HR
JOB-007,Mortgage Loan Team Associate - Paid Training,Rapid Home Lending,"Troy, MI 48084",60000.0,130000.0,95000,Salary,Full-time,"401(k), Paid time off, Paid training, Referral program, Professional dev",Not Applied,Indeed,12 hires in past 30 days; 40 hrs/wk
JOB-008,General Manager,Fern Hill Golf Club,"Clinton Township, MI 48038",50000.0,55000.0,52500,Salary,Full-time,"Health insurance, Vision insurance, Dental insurance",Not Applied,Indeed,Day shift +5
JOB-009,Aquatics Manager,Aqua Tots Swim School,"Farmington Hills, MI 48331",50000.0,55000.0,52500,Salary,Full-time,"Paid training, Opportunities for advancement",Not Applied,Indeed,"40-45 hrs/wk, Day shift"
JOB-010,Mortgage Loan Officer Trainee,United Mortgage Lending,"Troy, MI 48084",50000.0,120000.0,85000,Salary,Full-time,"401(k) 4% Match, Health insurance, Paid time off, Vision, Dental",Not Applied,Indeed,6 hires in past 30 days; Top-rated employer
JOB-011,Account Manager,DJ's Landscape Management,"Wixom, MI",50000.0,95000.0,72500,Salary,Full-time,"401(k) matching, Vision, Dental, EAP, Disability insurance",Not Applied,Indeed,Commercial landscape
JOB-012,Aquatics Manager,Aqua Tots Swim School,"Novi, MI 48377",50000.0,55000.0,52500,Salary,Full-time,"Paid training, Opportunities for advancement",Not Applied,Indeed,"40-45 hrs/wk, Day shift"
