Job ID	Job Description
JOB-001	Multi-Site Practice Operations Manager — Confidential (Oakland County,MI) | Compensation: $65,000 - $75,000 a year | Employment Type: Full-time | Benefits & Features: 401(k),Health insurance,Dental insurance,Paid time off; Easily apply; 3 hires made in past 30 days
JOB-002	Restaurant Assistant General Manager — Method Hospitality (Detroit,MI 48226) | Compensation: $70,000 - $75,000 a year | Employment Type: Full-time,Monday to Friday (+7) | Benefits & Features: 401(k),Health insurance,Dental insurance,Vision insurance,Life insurance,Paid time off; Easily apply
JOB-003	Not listed in document
JOB-004	Veterinary Onboarding Specialist — Snout,Inc (Troy,MI 48083) | Compensation: $55,000 - $60,000 a year | Employment Type: Full-time,Monday to Friday | Benefits & Features: Health insurance,Dental insurance,Vision insurance,Paid parental leave,Parental leave,Paid time off; Easily apply; Often replies in 1 day
JOB-005	Not listed in document
JOB-006	Not listed in document
JOB-007	Not listed in document
JOB-008	General Manager — Fern Hill Golf Club (Clinton Township,MI 48038) | Compensation: $50,000 - $55,000 a year | Employment Type: Full-time,Day shift (+5) | Benefits & Features: Health insurance,Vision insurance,Dental insurance; Easily apply
JOB-009	Aquatics Manager — Aqua Tots Swim School - Aqua Tots Novi,LLC (Farmington Hills,MI 48331) | Compensation: $50,000 - $55,000 a year | Employment Type: Full-time,40 to 45 hours per week,Day shift (+3) | Benefits & Features: Easily apply; Often replies in 1 day
JOB-010	Not listed in document
JOB-011	Not listed in document
JOB-012	Not listed in document
JOB-013	Assistant General Manager — Taco Bell (New Baltimore,MI 48047) | Compensation: $48,000 - $60,000 a year | Employment Type: Full-time,50 hours per week | Benefits & Features: Health insurance,401(k) matching (6% Match),Tuition reimbursement,Gym membership,Paid time off; Easily apply
JOB-014	Manager — Art & Jake's Sports Bar & Grill (Sterling Heights,MI 48314) | Compensation: $60,000 - $75,000 a year | Employment Type: Full-time | Benefits & Features: Health insurance,Vision insurance,Dental insurance,Food provided,Employee discount,Paid time off; Easily apply; Often replies in 1 day
JOB-015	Not listed in document
JOB-016	Not listed in document
JOB-017	Not listed in document
JOB-018	Office Manager — DeHaan Orthodontics (Clarkston,MI 48348) | Compensation: Not specified | Employment Type: Full-time,35 to 40 hours per week | Benefits & Features: 401(k),401(k) matching,Health insurance,Paid time off,Employee discount; Easily apply; 2 hires made in past 30 days; Top-rated employer
JOB-019	Area General Manager — The Great Greek (Ann Arbor,MI 48103) | Compensation: $55,000 - $65,000 a year | Employment Type: Full-time | Benefits & Features: Easily apply; 2 hires made in past 30 days
JOB-020	Not listed in document
JOB-021	Assistant Manager - Restaurant — Mediterrano Restaurant (Ann Arbor,MI 48104) | Compensation: $55,000 - $70,000 a year | Employment Type: Full-time,Day shift (+4) | Benefits & Features: Health insurance,Paid training,Paid time off,Opportunities for advancement; Easily apply; Often replies in 1 day
JOB-022	Not listed in document
JOB-023	Banquet Manager — Royalty Manor Banquet Hall (Dearborn Heights,MI 48127) | Compensation: From $20 an hour | Employment Type: Full-time (+2) | Benefits & Features: Easily apply
JOB-024	Mortgage Loan Officer Assistant — Rapid Home Lending (Troy,MI 48084) | Compensation: $60,000 - $130,000 a year | Employment Type: Full-time,40 hours per week,Monday to Friday | Benefits & Features: 401(k),Paid training,Referral program,Professional development assistance,Paid time off,Opportunities for advancement; Easily apply; 12 hires made in past 30 days
JOB-025	Not listed in document
JOB-026	Not listed in document
